i,j,Median
15,97,19
15,98,25
15,99,23
15,100,25
15,101,25
15,102,25
15,103,25
15,104,38.2
15,105,23
15,106,24
15,107,19
15,108,19
15,109,0.1
15,110,19
15,111,19
15,112,19
15,113,25
15,114,2.1
15,115,11
16,0,12
16,1,7
16,2,7
16,3,16.5
16,4,14
16,5,7
16,6,14
16,7,11
16,8,7
16,9,16.5
16,10,10.3
16,11,7
16,12,0.1
16,13,10.3
16,14,14
16,15,14
16,16,0
16,17,16.5
16,18,7
16,19,14
16,20,15
16,21,14
16,22,10.3
16,23,10.3
16,24,16.5
16,25,7
16,26,22
16,27,14
16,28,14
16,29,10.3
16,30,7
16,31,7
16,32,16.5
16,33,7
16,34,7
16,35,7
16,36,10.3
16,37,7
16,38,16.5
16,39,7
16,40,16.5
16,41,7
16,42,7
16,43,6.3
16,44,7
16,45,16.5
16,46,16.5
16,47,7
16,48,16.5
16,49,7
16,50,16.5
16,51,16.5
16,52,20
16,53,10.3
16,54,16.5
16,55,10.3
16,56,16.5
16,57,10.3
16,58,14
16,59,14
16,60,7
16,61,7
16,62,16.5
16,63,15
16,64,10.3
16,65,10.3
16,66,23.9
16,67,11
16,68,24.8
16,69,7
16,70,7
16,71,7
16,72,20
16,73,14
16,74,7
16,75,14
16,76,7
16,77,14
16,78,22
16,79,7
16,80,16.5
16,81,10.3
16,82,10.3
16,83,14
16,84,0
16,85,7
16,86,7
16,87,16.5
16,88,24.8
16,89,7
16,90,10.3
16,91,10.3
16,92,16.5
16,93,7
16,94,10.3
16,95,7
16,96,10.3
16,97,7
16,98,10.3
16,99,14
16,100,10.3
16,101,10.3
16,102,10.3
16,103,10.3
16,104,35
16,105,24.8
16,106,13
16,107,7
16,108,7
16,109,14
16,110,7
16,111,7
16,112,7
16,113,10.3
16,114,16.5
16,115,12
17,0,11
17,1,22.2
17,2,22.2
17,3,6.1
17,4,2.1
17,5,21
17,6,2.1
17,7,22.6
17,8,21
17,9,6.1
17,10,25.6
17,11,21
17,12,13
17,13,25.6
17,14,24.6
